school_name,address,town,lga_name,x,y
Wodonga Senior Secondary College,80 Brockley Street Wodonga VIC 3690,Wodonga,Wodonga (C),-36.125609999999995,146.88105
Yarram Secondary College,86 James Street Yarram VIC 3971,Yarram,Wellington (S),-38.56658,146.68546
Woodmans Hill Secondary College,1 Fussell Street Ballarat East VIC 3350,Ballarat East,Ballarat (C),-37.55912,143.89228
Yea High School,67 Racecourse Rd Yea VIC 3717,Yea,Murrindindi (S),-37.21501,145.40854
Glen Eira College,76 Booran Road Caulfield East VIC 3145,Caulfield East,Glen Eira (C),-37.8857,145.03801
Craigieburn Secondary College,102 Hothlyn Drive Craigieburn VIC 3064,Craigieburn,Hume (C),-37.60862,144.93558000000002
Emerald Secondary College,425 Belgrave-gembrook Rd Emerald VIC 3782,Emerald,Cardinia (S),-37.92427,145.45873999999998
Reservoir High School,855 Plenty Road Reservoir VIC 3073,Reservoir,Darebin (C),-37.72226,145.02976999999998
Hampton Park Secondary College,58 - 96 Fordholm Road Hampton Park VIC 3976,Hampton Park,Casey (C),-38.034859999999995,145.25988
Hoppers Crossing Secondary College,2 Fraser Street Hoppers Crossing VIC 3029,Hoppers Crossing,Wyndham (C),-37.87122,144.69536000000002
Keilor Downs Secondary College,100-110 Odessa Avenue Keilor Downs VIC 3038,Keilor Downs,Brimbank (C),-37.71552,144.81118999999998
Kurnai College,Bridle Road Morwell VIC 3840,Morwell,Latrobe (C),-38.228790000000004,146.43278999999998
Kurunjang Secondary College,Kurunjang Drive Melton VIC 3337,Melton,Melton (C),-37.672909999999995,144.58596
Lakes Entrance Secondary College,1-11 North Street Lakes Entrance VIC 3909,Lakes Entrance,East Gippsland (S),-37.871340000000004,147.99841
Elisabeth Murdoch College,80 Warrandyte Road Langwarrin VIC 3910,Langwarrin,Frankston (C),-38.159290000000006,145.19018
Sunbury Downs Secondary College,148-174 Mitchells Lane Sunbury VIC 3429,Sunbury,Hume (C),-37.58401,144.70448000000002
Forest Hill College,178-180 Mahoneys Road Burwood East VIC 3151,Burwood East,Whitehorse (C),-37.84852,145.16373000000002
Patterson River Secondary College,78 - 98 Eel Race Road Seaford VIC 3198,Seaford,Frankston (C),-38.0835,145.13474
St Helena Secondary College,Wallowa Road Eltham North VIC 3095,Eltham North,Banyule (C),-37.68687,145.13991000000001
Stawell Secondary College,79-97 Patrick Street Stawell VIC 3380,Stawell,Northern Grampians (S),-37.06195,142.78978999999998
Rowville Secondary College,17 Paratea Drive Rowville VIC 3178,Rowville,Knox (C),-37.92389,145.23709
Wonthaggi Secondary College,2 McKenzie Street Wonthaggi VIC 3995,Wonthaggi,Bass Coast (S),-38.61085,145.59784
Sandringham College,11 Holloway Road Sandringham VIC 3191,Sandringham,Bayside (C),-37.95671,145.02303
Fitzroy High School,Falconer Street Fitzroy North VIC 3068,Fitzroy North,Yarra (C),-37.784909999999996,144.98748
Ashwood High School,50 Vannam Drive Ashwood VIC 3147,Ashwood,Monash (C),-37.86453,145.10333
Mullauna Secondary College,456 Springfield Road Mitcham VIC 3132,Mitcham,Whitehorse (C),-37.807109999999994,145.19016000000002
Leongatha Secondary College,115 Nerrena Road Leongatha VIC 3953,Leongatha,South Gippsland (S),-38.47869,145.96124
Diamond Valley College,165-179 Main Hurstbridge Road Diamond Creek VIC 3089,Diamond Creek,Nillumbik (S),-37.67283,145.1674
Blackburn English Language School,120 Eley Road Burwood East VIC 3151,Burwood East,Whitehorse (C),-37.84789,145.14829
Collingwood English Language School,19 Cambridge Street Collingwood VIC 3066,Collingwood,Yarra (C),-37.80784,144.9848
Noble Park English Language School,21-35 Thomas Street Noble Park VIC 3174,Noble Park,Greater Dandenong (C),-37.97117,145.17817
Greensborough Secondary College,Nell  Street Greensborough VIC 3088,Greensborough,Banyule (C),-37.708490000000005,145.09125
Ararat Secondary College,4-30 Barkly Street Ararat VIC 3377,Ararat,Ararat (RC),-37.286,142.92196
Mill Park Secondary College,9 - 25 Moorhead Drive Mill Park VIC 3082,Mill Park,Whittlesea (C),-37.664159999999995,145.06341
Bacchus Marsh College,73 Grant Street Bacchus Marsh VIC 3340,Bacchus Marsh,Moorabool (S),-37.685629999999996,144.43306
The Grange P-12 College,30 Deloraine Drive Hoppers Crossing VIC 3029,Hoppers Crossing,Wyndham (C),-37.858129999999996,144.67494
Springside West Secondary College,70 City Vista Court Fraser Rise VIC 3336,Fraser Rise,Melton (C),-37.71593,144.72778
Taylors Lakes Secondary College,1-39 Parmelia Drive Taylors Lakes VIC 3038,Taylors Lakes,Brimbank (C),-37.707409999999996,144.7944
Sunshine College,Graham Street Sunshine VIC 3020,Sunshine,Brimbank (C),-37.79036,144.82916
Wallan Secondary College,100 Duke Street Wallan VIC 3756,Wallan,Mitchell (S),-37.41839,144.98147
Thornbury High School,238 Collins Street Thornbury VIC 3071,Thornbury,Darebin (C),-37.75649,145.02521000000002
Portland Secondary College,170 Must Street Portland VIC 3305,Portland,Glenelg (S),-38.35882,141.59482
Copperfield College,Goldsmith Avenue Delahey VIC 3037,Delahey,Brimbank (C),-37.71946,144.77243
Bayside P-12 College,29-69 Kororoit Creek Road Williamstown VIC 3016,Williamstown,Hobsons Bay (C),-37.8577,144.88521
South Oakleigh Secondary College,Bakers Road Oakleigh South VIC 3167,Oakleigh South,Monash (C),-37.92232,145.08977
Swan Hill College,10 - 32 Pye Street Swan Hill VIC 3585,Swan Hill,Swan Hill (RC),-35.335229999999996,143.55285
Traralgon College,154-184 Grey Street Traralgon VIC 3844,Traralgon,Latrobe (C),-38.19142,146.51949
Mornington Secondary College,1051 Nepean Highway Mornington VIC 3931,Mornington,Mornington Peninsula (S),-38.21671,145.05776
Essendon Keilor College,Quinn Grove Keilor East VIC 3033,Keilor East,Moonee Valley (C),-37.739709999999995,144.86971
Brunswick Secondary College,47 Dawson Street Brunswick VIC 3056,Brunswick,Moreland (C),-37.7709,144.95501000000002
Glen Waverley Secondary College,13-21 O'Sullivan Road Glen Waverley VIC 3150,Glen Waverley,Monash (C),-37.8781,145.16211
Monterey Secondary College,Silvertop Street Frankston North VIC 3200,Frankston North,Frankston (C),-38.12612,145.14772
Warrnambool College,Grafton Road Warrnambool VIC 3280,Warrnambool,Warrnambool (C),-38.37672,142.49968
Viewbank College,Warren Road Viewbank VIC 3084,Viewbank,Banyule (C),-37.7412,145.08659
Noble Park Secondary College,3 Callaghan Street Noble Park VIC 3174,Noble Park,Greater Dandenong (C),-37.970209999999994,145.18237
Baimbridge College,59 Mt Baimbridge Rd Hamilton VIC 3300,Hamilton,Southern Grampians (S),-37.733309999999996,142.01463
Yarra Hills Secondary College,16 Reay Road Mooroolbark VIC 3138,Mooroolbark,Yarra Ranges (S),-37.78934,145.31618
Heathmont College,Waters Grove Heathmont VIC 3135,Heathmont,Maroondah (C),-37.838429999999995,145.2321
Horsham College,310 Baillie Street Horsham VIC 3402,Horsham,Horsham (RC),-36.711659999999995,142.1841
Melbourne Girls College,Yarra Boulevard Richmond VIC 3121,Richmond,Yarra (C),-37.82251,145.01433
Western Heights Secondary College,37-61 Vines Road Hamlyn Heights VIC 3215,Hamlyn Heights,Greater Geelong (C),-38.123909999999995,144.32806000000002
Lowanna College,72-96 Newark Avenue Newborough VIC 3825,Newborough,Latrobe (C),-38.17668,146.28598
Templestowe College,7 Cypress Avenue Templestowe Lower VIC 3107,Templestowe Lower,Manningham (C),-37.76743,145.12231
Castlemaine Secondary College,Etty Street Castlemaine VIC 3450,Castlemaine,Mount Alexander (S),-37.077090000000005,144.21455
Warragul Regional College,55 Burke Street Warragul VIC 3820,Warragul,Baw Baw (S),-38.1652,145.92549
Mount Rowan Secondary College,457 Forest Street Wendouree VIC 3355,Wendouree,Ballarat (C),-37.519220000000004,143.83446999999998
Charlton College,33 - 49 Davies Street Charlton VIC 3525,Charlton,Buloke (S),-36.270309999999995,143.35963
Wycheproof P-12 College,McKenzie Crescent Wycheproof VIC 3527,Wycheproof,Buloke (S),-36.0757,143.2291
